,Name,Sex,Age,Team,Games,Year,Season,Sport,Medal
230,ASAYUT Dararat,Female,36,Thailand,2020 Summer,2020,Summer,Table Tennis,0
231,ASGARI Farzaneh,Female,34,Islamic Republic of Iran,2020 Summer,2020,Summer,Archery,0
232,ASIIMWE Ritah,Female,34,Uganda,2020 Summer,2020,Summer,Badminton,0
233,ASLAKSON Josie,Female,25,United States of America,2020 Summer,2020,Summer,Wheelchair Basketball,1
234,ASLANOV Islam,Male,27,Uzbekistan,2020 Summer,2020,Summer,Swimming,1
235,ASLANOV Orkhan,Male,26,Azerbaijan,2020 Summer,2020,Summer,Athletics,3
236,ASLANOV Shamo,Male,38,Azerbaijan,2020 Summer,2020,Summer,Powerlifting,0
237,ASPDEN Hannah,Female,20,United States of America,2020 Summer,2020,Summer,Swimming,3
238,ASSOR Frederick,Male,36,Ghana,2020 Summer,2020,Summer,Cycling Track,0
239,ASSOUMANI Arnaud,Male,35,France,2020 Summer,2020,Summer,Athletics,0
240,ASTAN Adyos,Male,53,Indonesia,2020 Summer,2020,Summer,Table Tennis,0
241,ASTANOV Elvin,Male,41,Azerbaijan,2020 Summer,2020,Summer,Athletics,3
242,ASTASHOV Mikhail,Male,32,RPC,2020 Summer,2020,Summer,Cycling Road,3
243,ASTASHOV Mikhail,Male,32,RPC,2020 Summer,2020,Summer,Cycling Track,3
244,ATAEV Zainutdin,Male,29,RPC,2020 Summer,2020,Summer,Taekwondo,1
245,ATAMANENKO Serhiy,Male,41,Ukraine,2020 Summer,2020,Summer,Archery,0
246,ATAMANUK Emilio Ariel,Male,37,Argentina,2020 Summer,2020,Summer,Canoe Sprint,0
247,ATANGANA Guillaume Junior,Male,22,Cameroon,2020 Summer,2020,Summer,Athletics,0
248,ATCHIBA Fayssal,Male,29,Benin,2020 Summer,2020,Summer,Athletics,0
249,ATHMANI Skander Djamil,Male,28,Algeria,2020 Summer,2020,Summer,Athletics,3
250,ATTIA Mahmoud,Male,39,Egypt,2020 Summer,2020,Summer,Powerlifting,2
251,AUCLAIR David,Male,50,France,2020 Summer,2020,Summer,Shooting,0
252,AULIA Putri,Female,26,Indonesia,2020 Summer,2020,Summer,Athletics,0
253,AULT-CONNELL Eliza,Female,39,Australia,2020 Summer,2020,Summer,Athletics,0
254,AUNGAPHINAN Anon,Male,32,Thailand,2020 Summer,2020,Summer,Archery,0
255,AUNGLES Jesse,Male,25,Australia,2020 Summer,2020,Summer,Swimming,0
256,AUPRINCE Michael,Male,28,Australia,2020 Summer,2020,Summer,Wheelchair Basketball,0
257,AUSTIN Evan,Male,28,United States of America,2020 Summer,2020,Summer,Swimming,3
258,AVE Lindy,Female,22,Germany,2020 Summer,2020,Summer,Athletics,3
259,AVILA SANCHEZ Eduardo Adrian,Male,35,Mexico,2020 Summer,2020,Summer,Judo,1
260,AWANE Najwa,Female,22,Morocco,2020 Summer,2020,Summer,Wheelchair Tennis,0
261,AXELSSON Patrekur,Male,27,Iceland,2020 Summer,2020,Summer,Athletics,0
262,AYACHE Bilel,Male,39,Algeria,2020 Summer,2020,Summer,Wheelchair Basketball,0
263,AYANBEKU Femita,Female,28,United States of America,2020 Summer,2020,Summer,Athletics,0
264,AYASHI Faleh,Male,33,Islamic Republic of Iran,2020 Summer,2020,Summer,Wheelchair Basketball,0
265,AYBAR DIAZ Lourdes Alejandra,Female,32,Dominican Republic,2020 Summer,2020,Summer,Swimming,0
266,AYDOGDU Abdullah,Male,29,Turkey,2020 Summer,2020,Summer,Goalball,0
267,AYERS Nikki,Female,30,Australia,2020 Summer,2020,Summer,Rowing,0
268,AZEVEDO Adriana,Female,43,Brazil,2020 Summer,2020,Summer,Canoe Sprint,0
269,AZIZIAGHDAM Asghar,Male,33,Islamic Republic of Iran,2020 Summer,2020,Summer,Taekwondo,3
270,AZZAM Husam F A,Male,45,Palestine,2020 Summer,2020,Summer,Athletics,0
271,BAARS Lara,Female,24,Netherlands,2020 Summer,2020,Summer,Athletics,0
272,BABADI Mahdi,Male,30,Islamic Republic of Iran,2020 Summer,2020,Summer,Sitting Volleyball,3
273,BABAJANOV Nurlan,Male,28,Azerbaijan,2020 Summer,2020,Summer,Powerlifting,0
274,BABSKA Emilia,Female,20,Poland,2020 Summer,2020,Summer,Shooting,0
275,BABU Sidhartha,Male,41,India,2020 Summer,2020,Summer,Shooting,0
276,BABYNETS Yurii,Male,25,Ukraine,2020 Summer,2020,Summer,Powerlifting,0
277,BACHMAIER Ernst,Male,50,Austria,2020 Summer,2020,Summer,Cycling Road,0
278,BADACHE Hakim,Male,34,Algeria,2020 Summer,2020,Summer,Wheelchair Basketball,0
279,BADDOUR Noura,Female,36,Syrian Arab Republic,2020 Summer,2020,Summer,Powerlifting,0
280,BADRANE Ayoub,Male,27,Algeria,2020 Summer,2020,Summer,Wheelchair Basketball,0
281,BAEK Youngbok,Male,43,Republic of Korea,2020 Summer,2020,Summer,Table Tennis,2
282,BAEZ Nadia,Female,31,Argentina,2020 Summer,2020,Summer,Swimming,0
283,BAGHRADJI Oussama,Male,24,Algeria,2020 Summer,2020,Summer,Wheelchair Basketball,0
284,BAGLAR Zehra,Female,28,Turkey,2020 Summer,2020,Summer,Badminton,0
285,BAGZADEHFARD Iman,Male,34,Islamic Republic of Iran,2020 Summer,2020,Summer,Wheelchair Basketball,0
